iter	Passed	Remaining
280	881	2255
281	886	2257
282	888	2252
283	893	2253
284	897	2252
285	902	2253
286	906	2252
287	912	2256
288	913	2248
289	920	2252
290	923	2249
291	930	2255
292	935	2256
293	935	2247
294	943	2253
295	950	2260
296	956	2263
297	960	2261
298	964	2261
299	969	2261
300	969	2252
301	975	2254
302	978	2249
303	981	2247
304	988	2251
305	990	2245
306	993	2242
307	993	2232
308	994	2223
309	997	2220
310	998	2211
311	998	2201
312	999	2194
313	1001	2188
314	1003	2182
315	1006	2179
316	1016	2190
317	1026	2201
318	1026	2191
319	1032	2193
320	1035	2190
321	1039	2188
322	1063	2229
323	1064	2220
324	1064	2211
325	1065	2202
326	1067	2196
327	1071	2195
328	1076	2195
329	1084	2201
330	1084	2192
331	1089	2191
332	1100	2203
333	1114	2222
334	1119	2222
335	1130	2233
336	1131	2225
337	1131	2216
338	1136	2216
339	1144	2222
340	1149	2221
341	1151	2214
342	1157	2217
343	1173	2237
344	1190	2260
345	1201	2270
346	1201	2261
347	1202	2252
348	1205	2247
349	1214	2254
350	1220	2256
351	1231	2266
352	1238	2269
353	1241	2265
354	1242	2256
355	1243	2249
356	1245	2243
357	1246	2234
358	1247	2226
359	1247	2217
360	1247	2208
361	1252	2208
362	1257	2205
363	1258	2199
364	1262	2195
365	1262	2187
366	1265	2183
367	1266	2174
368	1266	2166
369	1268	2159
370	1272	2157
371	1274	2150
372	1278	2149
373	1279	2141
374	1287	2146
375	1288	2138
376	1288	2129
377	1289	2121
378	1292	2117
379	1293	2109
380	1293	2101
381	1294	2094
382	1295	2086
383	1295	2078
384	1300	2077
385	1301	2070
386	1302	2062
387	1302	2054
388	1303	2046
389	1305	2041
390	1313	2045
391	1313	2038
392	1319	2038
393	1323	2035
394	1327	2032
395	1329	2028
396	1466	2226
397	1467	2219
398	1469	2212
399	1473	2210
400	1474	2202
401	1478	2199
402	1489	2206
403	1499	2212
404	1505	2211
405	1508	2207
406	1513	2205
407	1517	2201
408	1518	2194
409	1519	2186
410	1522	2181
411	1525	2176
412	1531	2177
413	1534	2172
414	1535	2163
415	1535	2155
416	1537	2149
417	1539	2143
418	1545	2142
419	1545	2134
420	1546	2126
421	1546	2118
422	1547	2110
423	1553	2110
424	1556	2106
425	1566	2110
426	1568	2104
427	1568	2096
428	1570	2090
429	1571	2082
430	1572	2075
431	1574	2070
432	1578	2066
433	1579	2059
434	1583	2057
435	1585	2050
436	1585	2042
437	1586	2035
438	1587	2028
439	1592	2026
440	1599	2027
441	1602	2022
442	1602	2014
443	1602	2007
444	1608	2005
445	1614	2005
446	1615	1998
447	1617	1992
448	1618	1986
449	1619	1979
450	1619	1971
451	1621	1966
452	1624	1961
453	1628	1958
454	1636	1959
455	1639	1956
456	1640	1949
457	1646	1948
458	1649	1943
459	1649	1936
460	1658	1939
461	1659	1932
462	1659	1924
463	1661	1918
464	1662	1912
465	1665	1908
466	1673	1909
467	1676	1906
468	1679	1901
469	1681	1895
470	1681	1888
471	1682	1882
472	1686	1878
473	1688	1873
474	1688	1866
475	1689	1859
476	1694	1857
477	1696	1852
478	1699	1848
479	1703	1845
480	1706	1840
481	1709	1837
482	1714	1835
483	1718	1832
484	1720	1826
485	1722	1822
486	1723	1815
487	1732	1817
488	1734	1812
489	1734	1805
490	1735	1799
491	1737	1793
492	1741	1790
493	1745	1788
494	1746	1781
495	1752	1781
496	1758	1779
497	1763	1777
498	1765	1772
499	1765	1765
500	1771	1764
501	1772	1758
502	1773	1752
503	1773	1745
504	1774	1739
505	1774	1732
506	1784	1734
507	1784	1728
508	1785	1722
509	1787	1717
510	1787	1710
511	1791	1707
512	1795	1704
513	1800	1701
514	1800	1695
515	1801	1689
516	1802	1683
517	1812	1686
518	1815	1683
519	1816	1676
520	1817	1670
521	1818	1664
522	1818	1658
523	1825	1658
524	1834	1660
525	1842	1660
526	1845	1656
527	1848	1652
528	1854	1651
529	1854	1644
530	1859	1642
531	1862	1638
532	1863	1632
533	1869	1631
534	1872	1627
535	1878	1626
536	1887	1627
537	1890	1623
538	1891	1618
539	1892	1612
540	1896	1609
541	1897	1603
542	1905	1603
543	1906	1598
544	1911	1595
545	1913	1590
546	1913	1584
547	1915	1579
548	1915	1573
549	1915	1567
550	1916	1561
551	1916	1555
552	1920	1552
553	1923	1548
554	1927	1545
555	1927	1539
556	1930	1535
557	1930	1529
558	1932	1524
559	1934	1519
560	1935	1514
561	1936	1509
562	1936	1503
563	1936	1497
564	1938	1492
565	1939	1487
566	1940	1482
567	1941	1476
568	1942	1471
569	1944	1466
570	1946	1462
571	1947	1457
572	1950	1453
573	1951	1448
574	1952	1443
575	1959	1442
576	1960	1437
577	1963	1433
578	1964	1428
579	1966	1424
580	1967	1418
581	1967	1413
582	1969	1408
583	1976	1407
584	1980	1404
585	1982	1400
586	1988	1398
587	1988	1393
588	1993	1390
589	1993	1385
590	1996	1381
591	2000	1378
592	2003	1374
593	2010	1374
594	2011	1369
595	2016	1366
596	2020	1363
597	2022	1359
598	2024	1355
599	2026	1351
600	2027	1345
601	2029	1341
602	2034	1339
603	2042	1339
604	2046	1336
605	2050	1333
606	2054	1330
607	2058	1327
608	2065	1326
609	2073	1325
610	2075	1321
611	2077	1316
612	2079	1312
613	2080	1307
614	2082	1303
615	2088	1302
616	2095	1300
617	2104	1301
618	2107	1297
619	2116	1297
620	2117	1292
621	2119	1287
622	2123	1284
623	2127	1281
624	2131	1278
625	2133	1274
626	2135	1270
627	2140	1268
628	2148	1267
629	2158	1267
630	2158	1262
631	2159	1257
632	2159	1252
633	2163	1248
634	2163	1243
635	2164	1238
636	2164	1233
637	2165	1228
638	2166	1224
639	2168	1220
640	2171	1216
641	2172	1211
642	2175	1207
643	2179	1204
644	2186	1203
645	2191	1200
646	2192	1196
647	2192	1191
648	2193	1186
649	2194	1181
650	2196	1177
651	2200	1174
652	2206	1172
653	2212	1170
654	2215	1167
655	2216	1162
656	2217	1157
657	2217	1152
658	2217	1147
659	2219	1143
660	2224	1141
661	2231	1139
662	2231	1134
663	2233	1130
664	2233	1125
665	2234	1120
666	2234	1115
667	2238	1112
668	2241	1108
669	2241	1104
670	2245	1100
671	2247	1096
672	2250	1093
673	2257	1091
674	2261	1089
675	2262	1084
676	2266	1081
677	2269	1077
678	2270	1073
679	2273	1069
680	2276	1066
681	2280	1063
682	2285	1060
683	2287	1056
684	2290	1053
685	2291	1048
686	2294	1045
687	2296	1041
688	2298	1037
689	2300	1033
690	2301	1029
691	2301	1024
692	2302	1019
693	2304	1015
694	2307	1012
695	2310	1009
696	2312	1005
697	2313	1000
698	2316	997
699	2323	995
700	2327	992
701	2329	988
702	2330	984
703	2334	981
704	2335	977
705	2336	972
706	2344	971
707	2344	967
708	2345	962
709	2345	958
710	2345	953
711	2346	949
712	2346	944
713	2346	940
714	2347	935
715	2347	931
716	2348	926
717	2350	923
718	2350	918
719	2362	918
720	2385	923
721	2386	918
722	2387	914
723	2388	910
724	2392	907
725	2392	902
726	2392	898
727	2393	894
728	2393	889
729	2394	885
730	2394	881
731	2395	876
732	2395	872
733	2396	868
734	2396	864
735	2415	866
736	2420	863
737	2426	861
738	2438	861
739	2440	857
740	2442	853
741	2443	849
742	2444	845
743	2445	841
744	2448	838
745	2449	833
746	2458	832
747	2463	830
748	2468	827
749	2470	823
750	2471	819
751	2473	815
752	2474	811
753	2477	808
754	2479	804
755	2485	802
756	2488	798
757	2489	794
758	2489	790
759	2490	786
760	2495	783
761	2496	779
762	2497	775
763	2497	771
764	2505	769
765	2508	766
766	2509	762
767	2511	758
768	2517	756
769	2525	754
770	2528	750
771	2533	748
772	2535	744
773	2541	741
774	2543	738
775	2546	735
776	2546	730
777	2548	727
778	2549	723
779	2550	719
780	2552	715
781	2553	711
782	2555	708
783	2556	704
784	2557	700
785	2558	696
786	2559	692
787	2560	688
788	2561	685
789	2562	681
790	2564	677
791	2566	673
792	2567	670
793	2568	666
794	2569	662
795	2570	658
796	2571	655
797	2573	651
798	2574	647
799	2575	643
800	2576	639
801	2576	636
802	2578	632
803	2585	630
804	2593	628
805	2596	625
806	2602	622
807	2603	618
808	2608	615
809	2612	612
810	2612	608
811	2616	605
812	2617	602
813	2618	598
814	2618	594
815	2621	591
816	2630	589
817	2633	585
818	2636	582
819	2639	579
820	2646	577
821	2650	573
822	2656	571
823	2657	567
824	2657	563
825	2658	559
826	2659	556
827	2662	553
828	2663	549
829	2663	545
830	2663	541
831	2669	539
832	2671	535
833	2675	532
834	2676	528
835	2677	525
836	2678	521
837	2680	518
838	2681	514
839	2687	511
840	2689	508
841	2690	504
842	2698	502
843	2699	498
844	2699	495
845	2706	492
846	2707	489
847	2708	485
848	2708	481
849	2713	478
850	2719	476
851	2720	472
852	2720	468
853	2721	465
854	2728	462
855	2730	459
856	2734	456
857	2736	452
858	2738	449
859	2744	446
860	2746	443
861	2747	439
862	2750	436
863	2752	433
864	2756	430
865	2757	426
866	2763	423
867	2767	420
868	2773	418
869	2780	415
870	2784	412
871	2791	409
872	2791	406
873	2796	403
874	2798	399
875	2799	396
876	2801	392
877	2810	390
878	2814	387
879	2818	384
880	2819	380
881	2825	377
882	2825	374
883	2831	371
884	2834	368
885	2836	364
886	2836	361
887	2840	358
888	2841	354
889	2841	351
890	2844	347
891	2859	346
892	2863	343
893	2868	340
894	2871	336
895	2872	333
896	2874	330
897	2879	327
898	2879	323
899	2884	320
900	2884	316
901	2885	313
902	2885	309
903	2885	306
904	2886	302
905	2889	299
906	2892	296
907	2905	294
908	2912	291
909	2918	288
910	2918	285
911	2919	281
912	2919	278
913	2920	274
914	2922	271
915	2923	268
916	2928	265
917	2930	261
918	2934	258
919	2934	255
920	2935	251
921	2935	248
922	2938	245
923	2939	241
924	2940	238
925	2942	235
926	2942	231
927	2943	228
928	2943	224
929	2946	221
930	2956	219
931	2958	215
932	2963	212
933	2972	210
934	2975	206
935	2980	203
936	2981	200
937	2983	197
938	2989	194
939	3000	191
940	3003	188
941	3003	184
942	3004	181
943	3004	178
944	3005	174
945	3006	171
946	3007	168
947	3013	165
948	3014	161
949	3017	158
950	3017	155
951	3018	152
952	3018	148
953	3023	145
954	3033	142
955	3036	139
956	3043	136
957	3045	133
958	3053	130
959	3063	127
960	3067	124
961	3073	121
962	3074	118
963	3078	114
964	3084	111
965	3085	108
966	3086	105
967	3089	102
968	3090	98
969	3098	95
970	3100	92
971	3102	89
972	3102	86
973	3103	82
974	3104	79
975	3107	76
976	3108	73
977	3110	69
978	3116	66
979	3116	63
980	3117	60
981	3119	57
982	3120	53
983	3120	50
984	3121	47
985	3122	44
986	3126	41
987	3126	37
988	3129	34
989	3129	31
990	3130	28
991	3133	25
992	3137	22
993	3145	18
994	3146	15
995	3146	12
996	3146	9
997	3147	6
998	3150	3
999	3159	0
